40,87,18,4,4,0,0,0,0,0,0,0,0,0,0,0
87,1326,999,423,296,57,22,6,3,1,0,0,2,0,0,0
18,999,2290,1621,1473,443,196,84,66,26,5,10,0,0,0,0
4,423,1621,2196,2772,1069,460,225,197,102,22,72,13,0,0,0
4,296,1473,2772,5912,3157,1853,998,947,520,169,473,184,8,0,0
0,57,443,1069,3157,2308,1719,1120,1196,685,237,681,355,27,1,0
0,22,196,460,1853,1719,1434,1156,1238,764,281,854,435,43,5,0
0,6,84,225,998,1120,1156,1036,1180,782,267,873,451,52,5,0
0,3,66,197,947,1196,1238,1180,1806,1217,459,1540,938,106,15,1
0,1,26,102,520,685,764,782,1217,1018,424,1584,1102,181,16,0
0,0,5,22,169,237,281,267,459,424,194,765,544,85,18,2
0,0,10,72,473,681,854,873,1540,1584,765,3380,3338,653,108,4
0,2,0,13,184,355,435,451,938,1102,544,3338,5676,1968,474,16
0,0,0,0,8,27,43,52,106,181,85,653,1968,1698,633,27
0,0,0,0,0,1,5,5,15,16,18,108,474,633,628,82
0,0,0,0,0,0,0,0,1,0,2,4,16,27,82,30
