98,106,18,1,1,0,0,0,0,0,0,0,0,0,0,0
106,4638,3038,689,320,61,4,2,0,2,0,0,0,0,0,0
18,3038,12026,5827,2338,493,138,50,18,7,3,1,0,0,0,0
1,689,5827,10996,6916,1310,417,192,121,26,5,18,2,0,0,0
1,320,2338,6916,14942,4585,1697,807,619,262,58,131,26,2,0,0
0,61,493,1310,4585,3488,1654,993,685,329,84,207,55,5,1,0
0,4,138,417,1697,1654,1190,802,666,256,83,191,68,5,1,0
0,2,50,192,807,993,802,712,672,313,71,173,60,6,0,0
0,0,18,121,619,685,666,672,866,565,136,320,109,7,0,0
0,2,7,26,262,329,256,313,565,440,121,372,115,9,0,0
0,0,3,5,58,84,83,71,136,121,42,149,41,6,0,0
0,0,1,18,131,207,191,173,320,372,149,618,267,29,7,1
0,0,0,2,26,55,68,60,109,115,41,267,348,80,13,1
0,0,0,0,2,5,5,6,7,9,6,29,80,46,12,0
0,0,0,0,0,1,1,0,0,0,0,7,13,12,8,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
