0,0,0,1,5,2,1,3,1,1,0,2,0,0,0,0
0,0,34,39,129,140,111,111,92,70,24,58,18,2,0,0
0,34,328,241,307,242,191,196,149,134,50,150,79,10,0,0
1,39,241,570,856,440,241,213,180,133,48,128,75,12,3,0
5,129,307,856,3212,2570,1079,833,672,564,205,482,281,42,8,0
2,140,242,440,2570,5810,3092,1789,1153,973,371,831,421,51,5,0
1,111,191,241,1079,3092,3110,2435,1256,919,288,841,421,82,7,0
3,111,196,213,833,1789,2435,3036,2179,1326,423,974,590,89,19,3
1,92,149,180,672,1153,1256,2179,2312,1897,537,1242,678,131,19,2
1,70,134,133,564,973,919,1326,1897,2426,959,2225,1016,163,21,0
0,24,50,48,205,371,288,423,537,959,436,1313,593,98,10,2
2,58,150,128,482,831,841,974,1242,2225,1313,5442,3532,526,58,2
0,18,79,75,281,421,421,590,678,1016,593,3532,4848,1191,154,9
0,2,10,12,42,51,82,89,131,163,98,526,1191,584,112,6
0,0,0,3,8,5,7,19,19,21,10,58,154,112,38,2
0,0,0,0,0,0,0,3,2,0,2,2,9,6,2,0
