4,31,14,3,2,2,0,0,0,0,0,0,0,0,0,0
31,1732,1500,699,395,353,89,12,0,0,0,0,0,0,0,0
14,1500,5134,2338,973,855,325,91,31,13,4,2,0,0,0,0
3,699,2338,5102,2553,1436,543,204,90,44,32,3,6,1,0,0
2,395,973,2553,5284,3676,856,310,181,112,82,26,11,6,0,0
2,353,855,1436,3676,11808,4451,1079,536,384,352,147,73,67,5,0
0,89,325,543,856,4451,7930,2831,1122,594,526,238,112,163,27,1
0,12,91,204,310,1079,2831,3008,1623,745,497,199,97,150,27,0
0,0,31,90,181,536,1122,1623,2032,1177,694,248,126,157,35,1
0,0,13,44,112,384,594,745,1177,1432,1102,319,134,182,37,0
0,0,4,32,82,352,526,497,694,1102,2026,821,314,304,69,1
0,0,2,3,26,147,238,199,248,319,821,808,421,377,62,1
0,0,0,6,11,73,112,97,126,134,314,421,366,398,42,3
0,0,0,1,6,67,163,150,157,182,304,377,398,1118,263,11
0,0,0,0,0,5,27,27,35,37,69,62,42,263,262,8
0,0,0,0,0,0,1,0,1,0,1,1,3,11,8,0
