2,28,7,10,5,3,0,0,0,0,0,0,0,0,0,0
28,860,1156,767,645,766,343,119,53,22,14,6,6,2,0,0
7,1156,1786,1790,1655,2319,1386,478,272,143,126,54,27,27,3,0
10,767,1790,1700,1847,2746,1792,864,553,354,295,124,52,70,11,0
5,645,1655,1847,2022,2928,2081,1049,670,522,461,200,111,153,23,0
3,766,2319,2746,2928,5342,3884,2018,1370,1116,1169,625,319,425,46,1
0,343,1386,1792,2081,3884,3076,1791,1366,1056,1187,643,381,547,112,2
0,119,478,864,1049,2018,1791,1182,835,637,710,382,249,377,93,2
0,53,272,553,670,1370,1366,835,760,560,566,349,225,290,96,3
0,22,143,354,522,1116,1056,637,560,474,555,289,140,270,79,3
0,14,126,295,461,1169,1187,710,566,555,696,342,208,333,108,0
0,6,54,124,200,625,643,382,349,289,342,258,130,181,57,3
0,6,27,52,111,319,381,249,225,140,208,130,50,123,45,3
0,2,27,70,153,425,547,377,290,270,333,181,123,220,98,5
0,0,3,11,23,46,112,93,96,79,108,57,45,98,24,2
0,0,0,0,0,1,2,2,3,3,0,3,3,5,2,0
