2,10,3,0,0,0,1,0,0,0,0,0,0,0,0,0
10,332,275,91,90,32,12,3,2,1,0,0,0,0,0,0
3,275,722,418,357,145,84,68,32,20,7,9,3,0,0,0
0,91,418,776,1038,404,148,124,85,61,14,33,16,0,0,0
0,90,357,1038,3918,2732,975,634,474,428,146,337,162,17,0,0
0,32,145,404,2732,6072,3197,1753,1026,881,343,899,453,64,6,0
1,12,84,148,975,3197,3260,2561,1325,917,289,817,491,99,16,4
0,3,68,124,634,1753,2561,3264,2308,1440,410,1026,616,114,23,1
0,2,32,85,474,1026,1325,2308,2512,2002,616,1298,711,152,25,2
0,1,20,61,428,881,917,1440,2002,2598,980,2368,1024,158,27,0
0,0,7,14,146,343,289,410,616,980,472,1407,575,106,16,1
0,0,9,33,337,899,817,1026,1298,2368,1407,5582,3610,483,66,4
0,0,3,16,162,453,491,616,711,1024,575,3610,5046,1214,142,5
0,0,0,0,17,64,99,114,152,158,106,483,1214,618,109,7
0,0,0,0,0,6,16,23,25,27,16,66,142,109,26,2
0,0,0,0,0,0,4,1,2,0,1,4,5,7,2,0
