10,39,32,17,28,10,5,2,3,1,2,2,0,0,0,0
39,606,657,473,590,278,171,89,86,76,31,67,42,1,0,0
32,657,1212,1154,1561,729,446,286,337,193,76,286,175,11,1,0
17,473,1154,1282,2074,1150,718,450,526,336,113,445,300,46,0,0
28,590,1561,2074,4042,2446,1732,1215,1303,915,301,1232,965,183,18,1
10,278,729,1150,2446,1694,1286,928,1118,786,319,1068,905,178,36,0
5,171,446,718,1732,1286,1078,808,1020,711,292,1029,856,186,36,2
2,89,286,450,1215,928,808,690,939,661,246,939,733,145,36,3
3,86,337,526,1303,1118,1020,939,1244,891,361,1464,1197,273,53,3
1,76,193,336,915,786,711,661,891,678,319,1229,1171,327,60,0
2,31,76,113,301,319,292,246,361,319,124,554,535,151,23,1
2,67,286,445,1232,1068,1029,939,1464,1229,554,2292,2575,836,213,11
0,42,175,300,965,905,856,733,1197,1171,535,2575,3762,1625,537,27
0,1,11,46,183,178,186,145,273,327,151,836,1625,1010,454,25
0,0,1,0,18,36,36,36,53,60,23,213,537,454,440,73
0,0,0,0,1,0,2,3,3,0,1,11,27,25,73,16
